TAGNAME,TAGVALUE,DATATYPE,TS
ns=2;s=Temperature,21.0,Float,2026-01-01T10:00:00Z
ns=2;s=Pressure,101.3,Float,2026-01-01T10:00:00Z
ns=2;s=Flow,15.5,Float,2026-01-01T10:00:00Z
ns=2;s=Temperature,21.03,Float,2026-01-01T10:00:01Z
ns=2;s=Pressure,101.35,Float,2026-01-01T10:00:01Z
ns=2;s=Flow,15.54,Float,2026-01-01T10:00:01Z
ns=2;s=Temperature,21.07,Float,2026-01-01T10:00:02Z
ns=2;s=Pressure,101.4,Float,2026-01-01T10:00:02Z
ns=2;s=Flow,15.58,Float,2026-01-01T10:00:02Z
ns=2;s=Temperature,21.1,Float,2026-01-01T10:00:03Z
ns=2;s=Pressure,101.45,Float,2026-01-01T10:00:03Z
ns=2;s=Flow,15.61,Float,2026-01-01T10:00:03Z
ns=2;s=Temperature,21.14,Float,2026-01-01T10:00:04Z
ns=2;s=Pressure,101.5,Float,2026-01-01T10:00:04Z
ns=2;s=Flow,15.64,Float,2026-01-01T10:00:04Z
ns=2;s=Temperature,21.17,Float,2026-01-01T10:00:05Z
ns=2;s=Pressure,101.55,Float,2026-01-01T10:00:05Z
ns=2;s=Flow,15.67,Float,2026-01-01T10:00:05Z
ns=2;s=Temperature,21.2,Float,2026-01-01T10:00:06Z
ns=2;s=Pressure,101.59,Float,2026-01-01T10:00:06Z
ns=2;s=Flow,15.7,Float,2026-01-01T10:00:06Z
ns=2;s=Temperature,21.24,Float,2026-01-01T10:00:07Z
ns=2;s=Pressure,101.64,Float,2026-01-01T10:00:07Z
ns=2;s=Flow,15.72,Float,2026-01-01T10:00:07Z
ns=2;s=Temperature,21.27,Float,2026-01-01T10:00:08Z
ns=2;s=Pressure,101.69,Float,2026-01-01T10:00:08Z
ns=2;s=Flow,15.75,Float,2026-01-01T10:00:08Z
ns=2;s=Temperature,21.3,Float,2026-01-01T10:00:09Z
ns=2;s=Pressure,101.73,Float,2026-01-01T10:00:09Z
ns=2;s=Flow,15.76,Float,2026-01-01T10:00:09Z
ns=2;s=Temperature,21.34,Float,2026-01-01T10:00:10Z
ns=2;s=Pressure,101.77,Float,2026-01-01T10:00:10Z
ns=2;s=Flow,15.78,Float,2026-01-01T10:00:10Z
ns=2;s=Temperature,21.37,Float,2026-01-01T10:00:11Z
ns=2;s=Pressure,101.82,Float,2026-01-01T10:00:11Z
ns=2;s=Flow,15.8,Float,2026-01-01T10:00:11Z
ns=2;s=Temperature,21.4,Float,2026-01-01T10:00:12Z
ns=2;s=Pressure,101.86,Float,2026-01-01T10:00:12Z
ns=2;s=Flow,15.81,Float,2026-01-01T10:00:12Z
ns=2;s=Temperature,21.43,Float,2026-01-01T10:00:13Z
ns=2;s=Pressure,101.9,Float,2026-01-01T10:00:13Z
ns=2;s=Flow,15.82,Float,2026-01-01T10:00:13Z
ns=2;s=Temperature,21.46,Float,2026-01-01T10:00:14Z
ns=2;s=Pressure,101.93,Float,2026-01-01T10:00:14Z
ns=2;s=Flow,15.83,Float,2026-01-01T10:00:14Z
ns=2;s=Temperature,21.49,Float,2026-01-01T10:00:15Z
ns=2;s=Pressure,101.97,Float,2026-01-01T10:00:15Z
ns=2;s=Flow,15.83,Float,2026-01-01T10:00:15Z
ns=2;s=Temperature,21.52,Float,2026-01-01T10:00:16Z
ns=2;s=Pressure,102.0,Float,2026-01-01T10:00:16Z
ns=2;s=Flow,15.84,Float,2026-01-01T10:00:16Z
ns=2;s=Temperature,21.55,Float,2026-01-01T10:00:17Z
ns=2;s=Pressure,102.03,Float,2026-01-01T10:00:17Z
ns=2;s=Flow,15.84,Float,2026-01-01T10:00:17Z
ns=2;s=Temperature,21.58,Float,2026-01-01T10:00:18Z
ns=2;s=Pressure,102.06,Float,2026-01-01T10:00:18Z
ns=2;s=Flow,15.84,Float,2026-01-01T10:00:18Z
ns=2;s=Temperature,21.61,Float,2026-01-01T10:00:19Z
ns=2;s=Pressure,102.09,Float,2026-01-01T10:00:19Z
ns=2;s=Flow,15.84,Float,2026-01-01T10:00:19Z
ns=2;s=Temperature,21.64,Float,2026-01-01T10:00:20Z
ns=2;s=Pressure,102.12,Float,2026-01-01T10:00:20Z
ns=2;s=Flow,15.83,Float,2026-01-01T10:00:20Z
ns=2;s=Temperature,21.67,Float,2026-01-01T10:00:21Z
ns=2;s=Pressure,102.14,Float,2026-01-01T10:00:21Z
ns=2;s=Flow,15.83,Float,2026-01-01T10:00:21Z
ns=2;s=Temperature,21.69,Float,2026-01-01T10:00:22Z
ns=2;s=Pressure,102.16,Float,2026-01-01T10:00:22Z
ns=2;s=Flow,15.82,Float,2026-01-01T10:00:22Z
